组播,#genre#
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
TVB 星河台,http://aktv.top/AKTV/live/aktv2/tvb/AKTV.m3u8
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
爆谷台,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
Animax-HK,http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8
C+台,http://aktv.top/AKTV/live/aktv3/c/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
KIX,http://aktv.top/AKTV/live/aktv3/kix/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
Nick Jr,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
Nickelodeon,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv3/rockaction/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
東方衛視國際頻道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8

4GTV,#genre#
中天新闻频道,http://litv.zapi.us.kg/?id=4gtv-4gtv009
东森新闻频道,http://litv.zapi.us.kg/?id=4gtv-4gtv152
tvbs新闻频道,http://litv.zapi.us.kg/?id=4gtv-4gtv072
寰宇新闻频道,http://litv.zapi.us.kg/?id=litv-longturn14
非凡新闻频道,http://litv.zapi.us.kg/?id=4gtv-4gtv010
闽镜新闻频道,http://litv.zapi.us.kg/?id=4gtv-4gtv075
民视新闻频道,http://litv.zapi.us.kg/?id=litv-ftv13
中视新闻频道,http://litv.zapi.us.kg/?id=4gtv-4gtv074
华视新闻频道,http://litv.zapi.us.kg/?id=4gtv-4gtv052
台视新闻频道,http://litv.zapi.us.kg/?id=4gtv-4gtv051
民视闽南频道,http://litv.zapi.us.kg/?id=4gtv-4gtv002
民视闽南频道,http://litv.zapi.us.kg/?id=4gtv-4gtv155
中视闽南频道,http://litv.zapi.us.kg/?id=4gtv-4gtv040
华视闽南频道,http://litv.zapi.us.kg/?id=4gtv-4gtv041
台视闽南频道,http://litv.zapi.us.kg/?id=4gtv-4gtv066
寰宇闽南频道,http://litv.zapi.us.kg/?id=litv-longturn15
tvbs闽南频道,http://litv.zapi.us.kg/?id=4gtv-4gtv073
民视台湾频道,http://litv.zapi.us.kg/?id=4gtv-4gtv001
民视台湾频道,http://litv.zapi.us.kg/?id=4gtv-4gtv156
民视第一频道,http://litv.zapi.us.kg/?id=4gtv-4gtv003
民视旅游频道,http://litv.zapi.us.kg/?id=litv-ftv07
民视影剧频道,http://litv.zapi.us.kg/?id=litv-ftv09
民视综艺频道,http://litv.zapi.us.kg/?id=4gtv-4gtv004
中视菁采频道,http://litv.zapi.us.kg/?id=4gtv-4gtv064
中视经典频道,http://litv.zapi.us.kg/?id=4gtv-4gtv080
台视财经频道,http://litv.zapi.us.kg/?id=4gtv-4gtv056
公视戏剧频道,http://litv.zapi.us.kg/?id=4gtv-4gtv042
闽南戏剧频道,http://litv.zapi.us.kg/?id=litv-longturn22
国际财经频道,http://litv.zapi.us.kg/?id=4gtv-4gtv104
东森财经频道,http://litv.zapi.us.kg/?id=4gtv-4gtv153
tvbs精采频道,http://litv.zapi.us.kg/?id=4gtv-4gtv067
tvbs欢乐频道,http://litv.zapi.us.kg/?id=4gtv-4gtv068
八大精彩频道,http://litv.zapi.us.kg/?id=4gtv-4gtv034
八大综艺频道,http://litv.zapi.us.kg/?id=4gtv-4gtv039
爱尔达娱乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv070
靖洋戏剧频道,http://litv.zapi.us.kg/?id=4gtv-4gtv045
靖洋卡通频道,http://litv.zapi.us.kg/?id=4gtv-4gtv057
靖天卡通频道,http://litv.zapi.us.kg/?id=4gtv-4gtv044
靖天综合频道,http://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天日本频道,http://litv.zapi.us.kg/?id=4gtv-4gtv047
靖天欢乐频道,http://litv.zapi.us.kg/?id=4gtv-4gtv054
靖天映画频道,http://litv.zapi.us.kg/?id=4gtv-4gtv055
靖天戏剧频道,http://litv.zapi.us.kg/?id=4gtv-4gtv058
靖天电影频道,http://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天育乐频道,http://litv.zapi.us.kg/?id=4gtv-4gtv062
靖天国际频道,http://litv.zapi.us.kg/?id=4gtv-4gtv063
靖天资讯频道,http://litv.zapi.us.kg/?id=4gtv-4gtv065
龙华卡通频道,http://litv.zapi.us.kg/?id=litv-longturn01
龙华日韩频道,http://litv.zapi.us.kg/?id=litv-longturn11
龙华偶像频道,http://litv.zapi.us.kg/?id=litv-longturn12
龙华电影频道,http://litv.zapi.us.kg/?id=litv-longturn03
龙华戏剧频道,http://litv.zapi.us.kg/?id=litv-longturn18
龙华经典频道,http://litv.zapi.us.kg/?id=litv-longturn21
国会频道壹台,http://litv.zapi.us.kg/?id=4gtv-4gtv084
国会频道贰台,http://litv.zapi.us.kg/?id=4gtv-4gtv085
好消息壹频道,http://litv.zapi.us.kg/?id=litv-ftv16
好消息贰频道,http://litv.zapi.us.kg/?id=litv-ftv17
智林体育频道,http://litv.zapi.us.kg/?id=4gtv-4gtv101
博斯魅力频道,http://litv.zapi.us.kg/?id=litv-longturn04
博斯网球频道,http://litv.zapi.us.kg/?id=litv-longturn09
博斯高球壹台,http://litv.zapi.us.kg/?id=litv-longturn05
博斯高球贰台,http://litv.zapi.us.kg/?id=litv-longturn06
博斯运动壹台,http://litv.zapi.us.kg/?id=litv-longturn07
博斯运动贰台,http://litv.zapi.us.kg/?id=litv-longturn08
博斯无限壹台,http://litv.zapi.us.kg/?id=litv-longturn10
博斯无限贰台,http://litv.zapi.us.kg/?id=litv-longturn13
阿里郎频道台,http://litv.zapi.us.kg/?id=4gtv-4gtv079
达文西频道台,http://litv.zapi.us.kg/?id=4gtv-4gtv018
猪哥亮歌厅台,http://litv.zapi.us.kg/?id=4gtv-4gtv006
亚洲旅游频道,http://litv.zapi.us.kg/?id=litv-longturn17
美国之音频道,http://litv.zapi.us.kg/?id=litv-ftv03
半岛新闻频道,http://litv.zapi.us.kg/?id=litv-ftv10
非凡商业频道,http://litv.zapi.us.kg/?id=4gtv-4gtv048
第壹商业频道,http://litv.zapi.us.kg/?id=4gtv-4gtv109
爱放动漫频道,http://litv.zapi.us.kg/?id=litv-ftv15
古典音乐频道,http://litv.zapi.us.kg/?id=4gtv-4gtv059
客家电视频道,http://litv.zapi.us.kg/?id=4gtv-4gtv043
华仁纪实频道,http://litv.zapi.us.kg/?id=4gtv-4gtv013
时尚运动频道,http://litv.zapi.us.kg/?id=4gtv-4gtv014
生活英语频道,http://litv.zapi.us.kg/?id=litv-longturn20
采昌影剧频道,http://litv.zapi.us.kg/?id=4gtv-4gtv049
数位电影频道,http://litv.zapi.us.kg/?id=4gtv-4gtv011
Amc电影频道,http://litv.zapi.us.kg/?id=4gtv-4gtv017
CAT电影频道,http://litv.zapi.us.kg/?id=4gtv-4gtv076
TRA体育频道,http://litv.zapi.us.kg/?id=4gtv-4gtv077
SMArt知识台,http://litv.zapi.us.kg/?id=litv-longturn19
GLO-Bet频道,http://litv.zapi.us.kg/?id=4gtv-4gtv016
TRACEU频道,http://litv.zapi.us.kg/?id=4gtv-4gtv082
MEZZOl频道,http://litv.zapi.us.kg/?id=4gtv-4gtv083
Ginx_TV频道,http://litv.zapi.us.kg/?id=4gtv-4gtv053

MYTV,#genre#
綜合
民視,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv002
民視第一台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv003
民視台灣台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv001
中視,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv040
中視菁采台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv064
中天亞洲台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv109
華視,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv041
靖天綜合台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv046
靖天國際台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv063
靖天日本台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv047
三立綜合台,https://pixman.mytvsuper.com.mp/4gtv/169
台視,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv066
Arirang TV,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv079
Bloomberg TV,https://pixman.mytvsuper.com.mp/4gtv/283
新聞財經
民視新聞台,https://pixman.mytvsuper.com.mp/litv/litv-ftv13
中視新聞台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv074
中天新聞台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv009
華視新聞,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv052
靖天資訊台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv065
寰宇新聞台,https://pixman.mytvsuper.com.mp/litv/litv-longturn14
寰宇新聞台灣台,https://pixman.mytvsuper.com.mp/litv/litv-longturn15
寰宇財經台,https://pixman.mytvsuper.com.mp/litv/litv-longturn23
TVBS 新聞台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv072
三立 iNEWS,https://pixman.mytvsuper.com.mp/4gtv/229
台視新聞台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv051
台視財經台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv056
東森新聞,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv152
東森財經新聞,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv153
非凡新聞台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv010
非凡商業台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv048
鏡電視新聞台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv075
CNBC Asia 財經台,https://pixman.mytvsuper.com.mp/4gtv/235
VOA 美國之音,https://pixman.mytvsuper.com.mp/litv/litv-ftv03
DW德國之聲,https://pixman.mytvsuper.com.mp/4gtv/226
SBN 全球財經台,https://pixman.mytvsuper.com.mp/4gtv/224
半島國際新聞台,https://pixman.mytvsuper.com.mp/litv/litv-ftv10
第1商業台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv104
電影戲劇
民視影劇台,https://pixman.mytvsuper.com.mp/litv/litv-ftv09
中視經典台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv080
靖天戲劇台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv058
靖天電影台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv061
龍華偶像台,https://pixman.mytvsuper.com.mp/litv/litv-longturn12
龍華戲劇台,https://pixman.mytvsuper.com.mp/litv/litv-longturn18
龍華經典台,https://pixman.mytvsuper.com.mp/litv/litv-longturn21
龍華電影台,https://pixman.mytvsuper.com.mp/litv/litv-longturn03
靖洋戲劇台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv045
TVBS 台劇台,https://pixman.mytvsuper.com.mp/4gtv/285
影迷數位紀實台,https://pixman.mytvsuper.com.mp/4gtv/212
影迷數位電影台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv011
AMC 電影台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv017
CatchPlay 電影台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv076
My Cinema Europe HD 我的歐洲電影,https://pixman.mytvsuper.com.mp/4gtv/176
公視戲劇台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv042
采昌影劇台,https://pixman.mytvsuper.com.mp/litv/4gtv-4gtv049
台灣戲劇台,https://pixman.mytvsuper.com.mp/litv/litv-longturn22
戲劇免費看 1台,https://pixman.mytvsuper.com.mp/4gtv/270
戲劇免費看 2台,https://pixman.mytvsuper.com.mp/4gtv/244
經典電影台,https://pixman.mytvsuper.com.mp/4gtv/201
電影免費看 2台,https://pixman.mytvsuper.com.mp/4gtv/245
電影原聲台 CMusic,https://pixman.mytvsuper.com.mp/4gtv/218
